"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1227372915298988033","https://twitter.com/DataONEorg/status/1227372915298988033","Michaela goes on to present stats on  representation in data science. On diversity, given data science is an emerging disciple: ‘we have a chance to get it right from the start’ @AcademicDataSci #eResearchNZ20 https://t.co/9LJ9UFCpfp","2020-02-11 23:24 +0000","2120.0","19.0","0.008962264150943396","1.0","0.0","4.0","3.0","0.0","0.0","4.0","0.0","0","0","0","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1227362972940394496","https://twitter.com/DataONEorg/status/1227362972940394496","Great to see #eResearchNZ20 open with two female keynote speakers. Now up, Michaela Parker of @AcademicDataSci encouraging the uptake of data science best practices and training in higher education. https://t.co/Y3iyHPpXPy","2020-02-11 22:45 +0000","3152.0","57.0","0.018083756345177664","6.0","1.0","12.0","12.0","0.0","8.0","4.0","0.0","0","0","0","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1227348613870653440","https://twitter.com/DataONEorg/status/1227348613870653440","Rosie Hicks of @ARDC_AU promoting #FAIR data and highlighting challenges of access to non-research data. Most researchers not aware of #FAIR. Eco/enviro better than some. @eresearchnz #eResearchNZ20 https://t.co/0U2vcGvaVI","2020-02-11 21:48 +0000","3779.0","39.0","0.010320190526594337","6.0","0.0","7.0","5.0","0.0","5.0","3.0","0.0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1227333551680610307","https://twitter.com/DataONEorg/status/1227333551680610307","Representing at eResearch 2020. On today’s agenda - RDM training, PIDs and federated networks. Follow @eresearchnz for coverage. @DataONEorg @nceas https://t.co/zUQxtfuoQl","2020-02-11 20:48 +0000","1792.0","15.0","0.008370535714285714","0.0","0.0","2.0","4.0","0.0","0.0","3.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1227293608820330496","https://twitter.com/DataONEorg/status/1227293608820330496","Great webinar on #RDMLA today. Too many questions to cover in the time available but don't fear, we'll get answers for you. The slides, recording and questions will be posted to https://t.co/26IgIMlT5r within 24h @The_RDMLA","2020-02-11 18:09 +0000","1827.0","19.0","0.010399562123700055","2.0","0.0","6.0","3.0","2.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1227293082120544256","https://twitter.com/DataONEorg/status/1227293082120544256","And for those that weren't able to get your lunch break coordinated, the recording will be at https://t.co/26IgIMlT5r within 24 hours. https://t.co/rROvU0ZrRN","2020-02-11 18:07 +0000","1301.0","3.0","0.0023059185242121443","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1226977820045385729","https://twitter.com/DataONEorg/status/1226977820045385729","Don't forget the DataONE Webinar tomorrow - all about the new Research Data Management Librarian Academy (@The_RDMLA) 0900 Pacific 1200 Eastern. https://t.co/e9qgq5pXdg https://t.co/L1XxAg3AXf","2020-02-10 21:14 +0000","1523.0","11.0","0.007222586999343401","3.0","0.0","5.0","1.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1225480751745028098","https://twitter.com/DataONEorg/status/1225480751745028098","Calling all librarians and information professionals, our next webinar is for you! Learn about the free, online educational program - the Research Data Management Librarian Academy - that explores RDM best practices. Tue Feb 11 0900 Pacific https://t.co/hfnhLP5WvH. @The_RDMLA","2020-02-06 18:05 +0000","3744.0","59.0","0.015758547008547008","8.0","0.0","14.0","4.0","21.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
