Month,Year,Date,Tweets,Profile_Visits,New_Followers,Tweet_Impressions,Mentions,Number_Followers
August,2021,2021-08-01,9,992,15,19000,14,1202
July,2021,2021-07-01,15,829,37,24700,1,1187
June,2021,2021-06-01,31,501,30,21400,3,1143
May,2021,2021-05-01,32, 1100, 31,24700,12,1113
April,2021,2021-04-01,56,1327,59,81500,15,1081
March,2021,2021-03-01,107,3134,94,72900,22,1022
February,2021,2021-02-01,31,1485,86,44800,12,932
January,2021,2021-01-01,36,880,37,31500,9,840
December,2020,2020-12-01,56,2154,42,47700,25,805
November,2020,2020-11-01,35,387,47,25200,16,762
October,2020,2020-10-01,35,243,39,22900,12,714
September,2020,2020-09-01,24,159,24,12400,5,673
August,2020,2020-08-01,43,57,25,17300,11,646
July,2020,2020-07-01,33,97,38,16800,14,629
June,2020,2020-06-01,14,153,37,19400,9,582
May,2020,2020-05-01,35,255,54,33000,31,543
April,2020,2020-04-01,40,166,26,21300,19,511
March,2020,2020-03-01,20,94,19,13900,3,null
Februrary,2020,2020-02-01,1,23,13,4542,5,null
January,2020,2020-01-01,0,18,11,1977,2,null
December,2019,2019-12-01,14,45,13,9637,16,null
November,2019,2019-11-01,1,9,3,2785,2,null
October,2019,2019-10-01,1,21,17,5077,5,null
September,2019,2019-09-01,0,8,2,1621,7,null
August,2019,2019-08-01,2,46,9,6229,11,null
July,2019,2019-07-01,0,23,5,1377,4,null
June,2019,2019-06-01,0,44,4,1856,1,null
May,2019,2019-05-01,2,34,10,5932,5,null
April,2019,2019-04-01,3,21,7,4201,8,null
March,2019,2019-03-01,1,44,7,4562,4,null
February,2019,2019-02-01,0,0,9,1746,0,null
January,2019,2019-01-01,6,20,16,9009,0,null
December,2018,2018-12-01,14,2,5,10364,0,null
November,2018,2018-11-01,5,8,5,9501,0,null
October,2018,2018-10-01,2,0,8,2523,0,null
September,2018,2018-09-01,3,13,12,9769,0,null
August,2018,2018-08-01,12,37,35,21235,0,null
July,2018,2018-07-01,2,12,5,4604,0,null
June,2018,2018-06-01,14,29,16,22402,0,null
May,2018,2018-05-01,5,4,0,5289,0,null
April,2018,2018-04-01,0,0,13,11500,0,null
March,2018,2018-03-01,14,39,30,28738,0,null
February,2018,2018-02-01,0,0,27,12300,0,null
January,2018,2018-01-01,2,8,10,5839,0,null
December,2017,2017-12-01,0,0,2,886,0,null
November,2017,2017-11-01,1,4,6,2662,0,null
October,2017,2017-10-01,0,0,5,756,0,null
September,2017,2017-09-01,0,0,0,1097,0,null
August,2017,2017-08-01,7,24,21,8003,0,null
July,2017,2017-07-01,0,0,-1,1517,0,null
June,2017,2017-06-01,5,5,4,6813,0,null
May,2017,2017-05-01,2,2,6,3112,0,null
April,2017,2017-04-01,2,4,6,1897,0,null
March,2017,2017-03-01,4,0,6,3821,0,null
February,2017,2017-02-01,1,0,-1,715,0,null
January,2017,2017-01-01,0,0,6,1045,0,null
December,2016,2016-12-01,4,2,7,3359,0,null
November,2016,2016-11-01,1,0,8,1522,0,null
October,2016,2016-10-01,1,0,5,1635,0,null
September,2016,2016-09-01,2,1,3,2375,0,null
August,2016,2016-08-01,2,9,11,4265,0,null
July,2016,2016-07-01,5,3,9,3846,0,null
June,2016,2016-06-01,4,1,0,2404,0,null
May,2016,2016-05-01,0,0,0,2217,0,null
April,2016,2016-04-01,4,0,0,5021,0,null
March,2016,2016-03-01,3,0,0,3075,0,null
